yy mm dd HH MM SS obs-obs-1-1-t2m obs-obs-1-1-ws_10min obs-obs-1-1-wg_10min obs-obs-1-1-wd_10min obs-obs-1-1-rh obs-obs-1-1-td obs-obs-1-1-r_1h obs-obs-1-1-ri_10min obs-obs-1-1-snow_aws obs-obs-1-1-p_sea obs-obs-1-1-vis obs-obs-1-1-n_man obs-obs-1-1-wawa
2017 01 01 13 40 00 -0.9 2.7 3.1 271.0 96.0 -1.4 NaN 0.0 0.0 997.4 27760.0 3.0 0.0
2017 01 01 13 50 00 -1.0 2.6 3.2 264.0 96.0 -1.5 NaN 0.0 0.0 997.4 26690.0 3.0 0.0
2017 01 01 14 00 00 -1.0 2.5 3.3 267.0 96.0 -1.5 0.0 0.0 0.0 997.4 31220.0 3.0 0.0
2017 01 01 14 10 00 -0.9 2.8 3.4 275.0 96.0 -1.4 NaN 0.0 0.0 997.4 31430.0 5.0 0.0
2017 01 01 14 20 00 -0.7 2.8 3.9 296.0 96.0 -1.2 NaN 0.0 0.0 997.5 25600.0 7.0 0.0
2017 01 01 14 30 00 -0.7 3.0 4.5 304.0 96.0 -1.2 NaN 0.0 0.0 997.4 28870.0 7.0 0.0
2017 01 01 14 40 00 -0.6 3.2 5.8 299.0 96.0 -1.1 NaN 0.0 0.0 997.4 32060.0 7.0 0.0
2017 01 01 14 50 00 -0.4 2.9 5.1 299.0 96.0 -1.0 NaN 0.0 0.0 997.4 33860.0 7.0 0.0
2017 01 01 15 00 00 -0.3 2.3 4.0 315.0 95.0 -1.0 0.0 0.0 0.0 997.5 38930.0 7.0 0.0
2017 01 01 15 10 00 -0.6 2.0 3.0 286.0 94.0 -1.4 NaN 0.0 0.0 997.6 30360.0 7.0 0.0
2017 01 01 15 20 00 -0.9 2.2 3.1 281.0 94.0 -1.6 NaN 0.0 0.0 997.7 27500.0 7.0 0.0
2017 01 01 15 30 00 -1.0 2.9 3.8 281.0 95.0 -1.7 NaN 0.0 0.0 997.6 24080.0 5.0 0.0
2017 01 01 15 40 00 -1.1 2.6 3.5 272.0 95.0 -1.8 NaN 0.0 0.0 997.7 27330.0 3.0 0.0
2017 01 01 15 50 00 -1.4 2.8 3.8 283.0 95.0 -2.1 NaN 0.0 0.0 997.8 24050.0 3.0 0.0
2017 01 01 16 00 00 -1.5 2.8 4.3 295.0 96.0 -2.0 0.0 0.0 0.0 997.9 18920.0 5.0 0.0
2017 01 01 16 10 00 -1.3 3.0 4.3 308.0 96.0 -1.8 NaN 0.0 0.0 997.9 17470.0 5.0 71.0
2017 01 01 16 20 00 -1.1 3.0 4.8 311.0 96.0 -1.6 NaN 0.0 0.0 998.2 27010.0 7.0 85.0
2017 01 01 16 30 00 -0.8 3.2 5.0 315.0 96.0 -1.3 NaN 0.0 0.0 998.3 26080.0 7.0 24.0
2017 01 01 16 40 00 -0.6 3.4 5.5 319.0 96.0 -1.2 NaN 0.0 0.0 998.3 31210.0 7.0 24.0
2017 01 01 16 50 00 -0.5 3.1 4.7 323.0 95.0 -1.2 NaN 0.0 0.0 998.3 34550.0 7.0 24.0
2017 01 01 17 00 00 -0.5 3.6 6.6 329.0 94.0 -1.3 0.0 0.0 0.0 998.4 14610.0 7.0 80.0
2017 01 01 17 10 00 -0.4 3.3 5.6 329.0 93.0 -1.3 NaN 0.0 0.0 998.3 28390.0 7.0 85.0
2017 01 01 17 20 00 -0.4 2.9 5.8 328.0 93.0 -1.4 NaN 0.0 0.0 998.4 48120.0 7.0 85.0
2017 01 01 17 30 00 -0.4 2.8 5.7 326.0 92.0 -1.5 NaN 0.0 0.0 998.6 45250.0 7.0 22.0
2017 01 01 17 40 00 -0.5 3.0 5.1 326.0 92.0 -1.6 NaN 0.0 0.0 998.6 45690.0 8.0 22.0
2017 01 01 17 50 00 -0.5 2.5 4.7 326.0 92.0 -1.6 NaN 0.0 0.0 998.7 42290.0 7.0 80.0
2017 01 01 18 00 00 -0.3 3.3 4.8 335.0 90.0 -1.7 0.0 0.0 0.0 998.8 33240.0 8.0 85.0
2017 01 01 18 10 00 -0.3 3.3 8.0 341.0 90.0 -1.7 NaN 0.0 0.0 998.9 12730.0 7.0 85.0
2017 01 01 18 20 00 -0.3 5.1 9.7 348.0 86.0 -2.4 NaN 0.0 0.0 998.9 43090.0 7.0 85.0
2017 01 01 18 30 00 -0.3 3.6 6.2 336.0 84.0 -2.7 NaN 0.0 0.0 999.0 50000.0 8.0 80.0
2017 01 01 18 40 00 -0.4 4.0 7.7 322.0 82.0 -3.0 NaN 0.0 0.0 999.2 50000.0 8.0 80.0
2017 01 01 18 50 00 -0.4 3.9 6.7 328.0 80.0 -3.4 NaN 0.0 0.0 999.3 50000.0 8.0 80.0
2017 01 01 19 00 00 -0.5 3.3 8.3 335.0 81.0 -3.4 0.0 0.0 0.0 999.6 38900.0 8.0 85.0
2017 01 01 19 10 00 -0.7 4.2 6.3 330.0 79.0 -3.9 NaN 0.0 0.0 999.7 50000.0 7.0 85.0
2017 01 01 19 20 00 -0.8 3.2 6.5 331.0 79.0 -4.0 NaN 0.0 0.0 999.7 50000.0 7.0 41.0
2017 01 01 19 30 00 -0.9 3.4 6.8 324.0 79.0 -4.1 NaN 0.0 0.0 999.7 50000.0 8.0 41.0
2017 01 01 19 40 00 -1.1 4.3 7.6 323.0 80.0 -4.2 NaN 0.0 0.0 999.8 50000.0 8.0 41.0
2017 01 01 19 50 00 -1.2 4.2 7.6 327.0 80.0 -4.2 NaN 0.0 0.0 1000.0 50000.0 8.0 41.0
2017 01 01 20 00 00 -1.3 4.5 8.1 326.0 80.0 -4.3 0.0 0.0 0.0 1000.1 50000.0 7.0 41.0
2017 01 01 20 10 00 -1.4 5.2 8.2 352.0 77.0 -4.9 NaN 0.0 0.0 1000.2 50000.0 7.0 21.0
2017 01 01 20 20 00 -1.5 4.1 6.9 338.0 78.0 -4.9 NaN 0.0 0.0 1000.3 50000.0 7.0 21.0
